,user,date,text,favorite_count,hashtags,user_loc
0,DickBurls,Fri Apr 24 07:01:41 +0000 2020,RT @osudaltaco: #wellsfargo     Fuck you guys.  Bastards,0,['wellsfargo'],
1,205_575_9595,Fri Apr 24 06:47:28 +0000 2020,"It's getting Partly Cloudy and look ↑ in the sky! now ffel that 58F temp. Keep your phones dry, call me if you need… https://t.co/BHEuyHdZ3w",0,[],
2,DonaldHoffler,Fri Apr 24 03:56:56 +0000 2020,"Wells Fargo, America's worst bank.  Messaged them on April 1 about account access.  They collected my information a… https://t.co/YtynAboii0",0,[],
3,FordWMaverick,Fri Apr 24 03:55:09 +0000 2020,"RT @lloydkaufman: @choptopmoseley @nypost @nytimes report at least 36,000 millionaires got 2million each.!you say there is disconnect?How b…",0,[],Columbus Ohio
4,bizjournals,Fri Apr 24 03:45:13 +0000 2020,The second round of #PPP lending promises to be a mad rush. #WellsFargo alone has $50 billion in loans ready for SB… https://t.co/TyB2TpG2G8,1,"['PPP', 'WellsFargo']",
5,Lynchian_Dream,Fri Apr 24 03:27:39 +0000 2020,"RT @lloydkaufman: @choptopmoseley @nypost @nytimes report at least 36,000 millionaires got 2million each.!you say there is disconnect?How b…",0,[],
6,lloydkaufman,Fri Apr 24 03:25:42 +0000 2020,"@choptopmoseley @nypost @nytimes report at least 36,000 millionaires got 2million each.!you say there is disconnect… https://t.co/36n1mHPfAR",2,[],"Tromaville,New York City"
7,jdm_crypto_boy,Fri Apr 24 00:47:32 +0000 2020,"THE MOVE TO #ISO2022 PAYMENTS WILL PAY OFF

#Sibos #Swift #WellsFargo
#Fintech #Chainlink $LINK 
 https://t.co/WdqratHFrX",5,"['ISO2022', 'Sibos', 'Swift', 'WellsFargo', 'Fintech', 'Chainlink']",the moon
8,TardWatcher,Fri Apr 24 00:09:14 +0000 2020,"@WellsFargo Shame on you, after 30+ years of doing business with you, we are finished. https://t.co/vrakR5xJXz #WellsFargo #DoTheRightThing",0,"['WellsFargo', 'DoTheRightThing']",
9,TardWatcher,Fri Apr 24 00:05:25 +0000 2020,"@WellsFargo After the shady ""loan"" business, I moved my brokerage acct away from WF. Getting ready to move the rest… https://t.co/h0NNyHrRxU",0,[],
10,MaxLaw843,Thu Apr 23 23:08:30 +0000 2020,"RT @LCFoodBank: We would like to shine a spotlight on #WellsFargo for donating $50,000 to the #LCFB! Thank you for backing our mission to f…",0,"['WellsFargo', 'LCFB']","Charleston, SC  (USA)"
11,svbizjournal,Thu Apr 23 22:30:20 +0000 2020,The second round of #PPP lending promises to be a mad rush. #WellsFargo alone has $50 billion in loans ready for… https://t.co/hT04egslDx,1,"['PPP', 'WellsFargo']",Silicon Valley
12,SFBusinessTimes,Thu Apr 23 22:01:18 +0000 2020,The second round of #PPP lending promises to be a mad rush. #WellsFargo alone has $50 billion in loans ready for SB… https://t.co/HEhnviw0SL,0,"['PPP', 'WellsFargo']",San Francisco
13,siteIQNicole,Thu Apr 23 22:01:09 +0000 2020,"When we look at banking sites, as a whole, #bankofamerica is the most usable. But BNYMellon, #WellsFargo, #SunTrust… https://t.co/5AxBWbdRYO",0,"['bankofamerica', 'WellsFargo', 'SunTrust']",
14,OnChainVentures,Thu Apr 23 21:25:57 +0000 2020,Wells Fargo to run blockchain pilot for internal settlements - Ledger Insights - enterprise blockchain #WellsFargo… https://t.co/yblx8ksTc1,3,['WellsFargo'],
15,mustafasimsek0,Thu Apr 23 20:43:26 +0000 2020,"How @WellsFargo  can lose this much value on market after beating expectations????
#wellsfargo
#stockmarket",0,"['wellsfargo', 'stockmarket']",United States
16,HurtinHomeOwner,Thu Apr 23 19:11:19 +0000 2020,"#ShutDownWellsFargoNOW

https://t.co/OAl1BrdtZ2

#WellsFargo #JPMorgan Sued Re #CoronaVirusTSUNAMI Loans… https://t.co/CG79ToLZO7",0,"['ShutDownWellsFargoNOW', 'WellsFargo', 'JPMorgan', 'CoronaVirusTSUNAMI']",
17,TouchKc,Thu Apr 23 18:41:13 +0000 2020,RT @HannahR38423050: I’m going to give $500 to someone random who retweets this tweet in the next 6 hours (must be following me so I can dm…,0,[],"Oroville, CA"
18,LCFoodBank,Thu Apr 23 18:01:17 +0000 2020,"We would like to shine a spotlight on #WellsFargo for donating $50,000 to the #LCFB! Thank you for backing our miss… https://t.co/dSp9muVWN2",3,"['WellsFargo', 'LCFB']",SC's 10 Coastal Counties
19,ProsperaUSA,Thu Apr 23 18:00:16 +0000 2020,#ThankfulThursday Thank you Wells Fargo! Your remarkable kindness and continuous support towards our organization i… https://t.co/mTJcRGBNIy,2,['ThankfulThursday'],Florida & North Carolina
20,LOCKHIMUPUSA,Thu Apr 23 17:45:59 +0000 2020,RT @MikePred: @WellsFargo I’m very upset and disappointed in #wellsfargo.   You moved too slowly for us and did not accept applications unt…,0,['wellsfargo'],"Pennsylvania, USA"
21,UnoDa1One,Thu Apr 23 17:24:42 +0000 2020,#WellsFargo #BloodlineEnt #UnoDaOne 👍🏾©️👍🏾©️👍🏾©️👍🏾©️👍🏾©️ @ Bloodline Entertainment https://t.co/pKmQBWCcC1,1,"['WellsFargo', 'BloodlineEnt', 'UnoDaOne']","Covington, KY"
22,IronFalcon77,Thu Apr 23 17:00:29 +0000 2020,"RT @roryekennedy: #Chase and #WellsFargo want to cut out the middleman and go into the oil business, directly destroying the #climate? Gree…",0,"['Chase', 'WellsFargo', 'climate']",I'm with Elvis - everywhere
23,Tickets_scammer,Thu Apr 23 16:58:48 +0000 2020,RT @NicaMFNasty: @7_louis99 hey scammin ass? You seem to like a lot of baseball. Nice catfish photos. The IT department is on it now. See y…,0,[],USA
24,millionssold,Thu Apr 23 16:02:44 +0000 2020,"RT @Reenies: SBA did not prioritize any businesses, banks made lists of who received funding first. watching closely . A lot of big banks a…",0,[],"Melbourne, FL"
25,giacomocarupano,Thu Apr 23 15:29:12 +0000 2020,Please push #wellsfargo to do its job https://t.co/umZNsTRp98,0,['wellsfargo'],
26,Reenies,Thu Apr 23 14:21:54 +0000 2020,"SBA did not prioritize any businesses, banks made lists of who received funding first. watching closely . A lot of… https://t.co/9oEXlchj5t",3,[],Florida
27,Emmanue99463120,Thu Apr 23 14:02:19 +0000 2020,#WellsFargo how come almost my entire family received their stimulus check from the government but my parents who n… https://t.co/nV8bRqdDzz,0,['WellsFargo'],
28,hmuller61,Thu Apr 23 13:47:15 +0000 2020,"We own three small businesses, an ""indie"" bookstore, a café, and a day spa. Hammered by #COVID19. Denied by… https://t.co/rJUzgiKSbi",1,['COVID19'],"San Diego, CA"
29,BranchesFL,Thu Apr 23 13:34:12 +0000 2020,We are needed more than ever in our #MiamiDade Community. With the help of funders like @WellsFargo we can provide… https://t.co/Vic2WOU1Qf,3,['MiamiDade'],"Miami, Florida"
30,AlexAngel131,Thu Apr 23 13:24:18 +0000 2020,"@Ask_WellsFargo ATM Machine ate my Visa Debit card.
Due to coronavirus they destroy all cards found inside ATM mach… https://t.co/MYPfLZjOuV",0,[],
31,nen_nyy,Thu Apr 23 13:18:08 +0000 2020,forever waiting for my stimulus check 🙃 #WellsFargo #StimulusCheck,3,"['WellsFargo', 'StimulusCheck']",~ how i'm feeling ~
32,205_575_9595,Thu Apr 23 13:17:16 +0000 2020,"It's getting Cloudy and look ↑ in the sky! now ffel that 56F temp. Keep your phones dry, call me if you need me!… https://t.co/Ui2GsPosSB",0,[],
33,SABizJournal,Thu Apr 23 13:00:32 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/06kWg0HkEi",0,"['banking', 'WellsFargo', 'PPP']","San Antonio, TX"
34,DisliasIoannis,Thu Apr 23 12:39:30 +0000 2020,For me #ete #ετε #eurobank #euro #ευρω &amp;  #WellsFargo are undervalued and excellent entry point for long term… https://t.co/2Zopt3O5JC,1,"['ete', 'ετε', 'eurobank', 'euro', 'ευρω', 'WellsFargo']","Καστοριά, Ελλάς"
35,himanshu_kau,Thu Apr 23 12:26:54 +0000 2020,"89% of businesses are investing in advanced #personalization, including heavy hitters like #CocaCola, #Netflix, and… https://t.co/aHqU5HoAki",0,"['personalization', 'CocaCola', 'Netflix']","New Delhi, India"
36,onlinecheck,Thu Apr 23 08:11:25 +0000 2020,"SBA has released limited data showing granular loan activity by the bank, making it hard to pinpoint how many loans… https://t.co/3ZdsxjlJa5",0,[],"Essex, Connecticut"
37,Stock_Market_Pr,Thu Apr 23 07:24:33 +0000 2020,Head of #WellsFargo $WFC Lending Provides Update on Mortgages During COVID-19 https://t.co/5LbNFY6MC5,0,['WellsFargo'],
38,205_575_9595,Thu Apr 23 07:17:03 +0000 2020,"It's getting Cloudy and look ↑ in the sky! now ffel that 54F temp. Keep your phones dry, call me if you need me!… https://t.co/62c4ZtyBlM",0,[],
39,cheetvh_drip,Thu Apr 23 05:15:44 +0000 2020,#wellsfargo is fucking evil after watching the Netflix film about them,3,['wellsfargo'],San Francisco 
40,CrowndKingJames,Thu Apr 23 04:15:53 +0000 2020,Confused.... my credit card balance on my Wells Fargo app says unavailable... is #WellsFargo paying off my balance?,2,['WellsFargo'],"Athens, Ga - Savannah, Ga"
41,charliebahama,Thu Apr 23 02:26:54 +0000 2020,if we ever want REAL accountability at corporations like #bp #wellsfargo #volkswagon #HSBC then ceo’s and execs tha… https://t.co/ioTIkSk410,0,"['bp', 'wellsfargo', 'volkswagon', 'HSBC']",
42,kavitadaiya,Thu Apr 23 02:22:38 +0000 2020,@ChrisMurphyCT I don’t understand why @SpeakerPelosi has not figured out how to hold banks accountable for WHICH ap… https://t.co/BuNu6AuYEw,0,[],
43,tomjcrane,Thu Apr 23 02:04:23 +0000 2020,"RT @HOUBizJournal: In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks' han…",0,"['banking', 'WellsFargo', 'PPP']","San Antonio, Texas"
44,AngryPat2020,Thu Apr 23 01:48:31 +0000 2020,😅Pain is coming for the unjust. Havard and the big banks are in for a scary ride. #chasejpmorgan #bankofamerica… https://t.co/ubmsN1QyfD,1,"['chasejpmorgan', 'bankofamerica']",South Florida
45,StallionSlayer,Thu Apr 23 01:36:35 +0000 2020,"@lfkraus @DebbieDoesTwitt Yeah, Wells Fargo offered me a $1756 loan when I applied for SBA. Yep, you read it right.… https://t.co/Jgbu3ZRd9c",1,[],"On The Ranch, No. Nevada"
46,jazzymofo,Thu Apr 23 01:30:38 +0000 2020,"I'm amazed ppl still bank with #BankofAmerica &amp; #WellsFargo. For the luv of Jeebus, go get a credit union ppl. https://t.co/5pZrTz1qjM",2,"['BankofAmerica', 'WellsFargo']",In the coupe w/ the low seat
47,gottagettheclo1,Thu Apr 23 00:41:17 +0000 2020,"RT @LukeTRadick: @realDonaldTrump 
@CoryBooker
@SenatorMenendez

Had to retweet this:
--No @USTreasury stimulus check (Payment Status Not A…",0,[],"New Jersey, USA"
48,ckcron,Thu Apr 23 00:16:01 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],
49,Andy91800173,Thu Apr 23 00:13:41 +0000 2020,"Been on hold with #wellsfargo for 2 hours today @wellsfargo has horrible customer service, I'm still on hold while I'm tweeting this",0,['wellsfargo'],
50,tlowe12,Wed Apr 22 23:53:33 +0000 2020,To get your current status on #WellsFargo PPP see below https://t.co/tzpRNWm3Nk,0,['WellsFargo'],"Delray Beach, FL"
51,LukeTRadick,Wed Apr 22 23:32:33 +0000 2020,"@realDonaldTrump 
@CoryBooker
@SenatorMenendez

Had to retweet this:
--No @USTreasury stimulus check (Payment Statu… https://t.co/0rgvKjrlbm",6,[],New Jersey
52,HelloTeamTrump,Wed Apr 22 23:26:38 +0000 2020,"RT @SOS_Fraud: Hmm 🤔 Thank you @HelloTeamTrump !! Loan will be forgiven? Is this the same as, You can keep your own Dr.? getting a loan aft…",0,[],AMERICA USA
53,Charsamama,Wed Apr 22 23:10:04 +0000 2020,"Me, after 45 minutes on the phone with shitty #WellsFargo 

And don’t @ me Wells. https://t.co/4EoHQmCwgL",1,['WellsFargo'],portland 
54,Charsamama,Wed Apr 22 23:08:09 +0000 2020,@prattprattpratt This guy has a real #WellsFargo holds my mortgage energy.,0,['WellsFargo'],portland 
55,SueAnnSzczech,Wed Apr 22 23:04:52 +0000 2020,"RT @DebbieB32113101: Dr Chitwood knew about this first and tweeted on it 7 DAYS ago‼️‼️
Check it out‼️‼️‼️@drmchitwood 
#WellsFargo #jpmorg…",0,['WellsFargo'],"Wisconsin, USA"
56,BTOESInsights,Wed Apr 22 23:00:24 +0000 2020,"Read this article by Wells Fargo, 'The Living Strategy Ecosystem'
#WellsFargo #BusinessTransformation
-… https://t.co/uAV1wqL4ir",0,"['WellsFargo', 'BusinessTransformation']","Orlando, FL / London"
57,KapunaBalls,Wed Apr 22 23:00:06 +0000 2020,@USAO_HI Look into local banks showing favoritism to deny small biz covid federal aid. Similar to Wells Fargo suit in CA. #WellsFargo,0,['WellsFargo'],Pacific Ocean 
58,MorrisFamilyLaw,Wed Apr 22 22:53:53 +0000 2020,"@FreelancerSo I have a small law firm with 5 employees.  I need just $60,000.00 to keep them employed. I was online… https://t.co/3gjrHaBAzL",0,[],"Irvine, CA"
59,205_575_9595,Wed Apr 22 22:17:29 +0000 2020,"It's getting Partly Cloudy and look ↑ in the sky! now ffel that 63F temp. Keep your phones dry, call me if you need… https://t.co/M4TQkTeXsy",0,[],
60,feed_hack,Wed Apr 22 21:48:34 +0000 2020,"RT @feed_hack: Wells Fargo Bank, N.A. on behalf of KDW Automotive https://t.co/EapUsJbxtT #databreach #security #wellsfargo https://t.co/vM…",0,"['databreach', 'security', 'wellsfargo']","Austin, Texas"
61,Worldtr16,Wed Apr 22 21:47:37 +0000 2020,"RT @LukeTRadick: @WaysandMeansGOP @SBAJovita @SBAgov Or how companies that were NOT economically harmed got #PPP money?
Or how big banks li…",0,['PPP'],London
62,AutoCaviar,Wed Apr 22 20:27:04 +0000 2020,@TDBank_US worst banking experience of my life. Management should be ashamed will 100% be changing to… https://t.co/njO3g37Jh2,2,[],
63,DemSortie,Wed Apr 22 20:17:12 +0000 2020,"@AliciaGalante @WellsFargo As soon as I get reopened, I'm shopping for a new bank. #WellsFargo is the worst.",0,['WellsFargo'],98118
64,LukeTRadick,Wed Apr 22 20:16:59 +0000 2020,"@WaysandMeansGOP @SBAJovita @SBAgov Or how companies that were NOT economically harmed got #PPP money?
Or how big b… https://t.co/j1vJp33gsJ",6,['PPP'],New Jersey
65,bbowers22,Wed Apr 22 20:16:26 +0000 2020,@WellsFargo been on hold for over an hour trying to reach a representative for retirement plan services. #help #wellsfargo,0,"['help', 'wellsfargo']",Ohio
66,AliciaGalante,Wed Apr 22 20:11:23 +0000 2020,@WellsFargo Yes hide all the negative tweets. Too bad you’re not there for the small business man to process his PPP loan.  #wellsfargo,1,['wellsfargo'],Sanibel/Ft Myers/Naples Fl
67,SalvArmySAV,Wed Apr 22 20:05:32 +0000 2020,"We are immensely grateful to @WellsFargo for donating $2,500 to support the families we are helping with unstable h… https://t.co/LRmu8ZDD1P",5,[],"Savannah, GA"
68,siteIQKenna,Wed Apr 22 19:01:20 +0000 2020,"When we look at banking sites, as a whole, #bankofamerica is the most usable. But BNYMellon, #WellsFargo, #SunTrust… https://t.co/A95G9VIMde",0,"['bankofamerica', 'WellsFargo', 'SunTrust']",Sunny AZ
69,wsmith6423,Wed Apr 22 18:59:31 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],USA
70,suzost,Wed Apr 22 18:38:28 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],
71,205_575_9595,Wed Apr 22 18:17:19 +0000 2020,"It's getting Showers in the Vicinity and look ↑ in the sky! now ffel that 64F temp. Keep your phones dry, call me i… https://t.co/LIMRJ0Hwgk",0,[],
72,MinteractApp,Wed Apr 22 18:07:30 +0000 2020,Options Flow Grid Update $WFC #OptionsTrading #WellsFargo Shares Down 0.19% to $26.79 #Financial #banking… https://t.co/VkFaIVLIVp,0,"['OptionsTrading', 'WellsFargo', 'Financial', 'banking']","California, USA"
73,HBJJeff,Wed Apr 22 18:03:20 +0000 2020,"RT @HOUBizJournal: In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks' han…",0,"['banking', 'WellsFargo', 'PPP']","Houston, Texas"
74,overtimeLaw,Wed Apr 22 18:02:04 +0000 2020,"RT @HOUBizJournal: In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks' han…",0,"['banking', 'WellsFargo', 'PPP']","Houston, TX"
75,OLUISBLESSED,Wed Apr 22 18:01:43 +0000 2020,"RT @HOUBizJournal: In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks' han…",0,"['banking', 'WellsFargo', 'PPP']","Houston, TX"
76,HOUBizJournal,Wed Apr 22 18:00:08 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/L4a0RwI3SC",1,"['banking', 'WellsFargo', 'PPP']",Houston
77,regina_heyward,Wed Apr 22 17:50:57 +0000 2020,"RT @USPAACC: Join us on Thursday, April 23 at 1:30pm EST with business leaders ready to Reboot Our Economy! RSVP https://t.co/CuC31WYofP

S…",0,[],
78,HigherEdWorks,Wed Apr 22 17:33:14 +0000 2020,"Higher Ed Works is truly honored to receive a $10,000 grant from @WellsFargo to support COVID-19 Recovery. We’re al… https://t.co/z9Q4cGzPnV",5,[],North Carolina
79,TeresaJTaylor1,Wed Apr 22 16:53:42 +0000 2020,@Ask_WellsFargo WHYYYY IS IT IMPOSSIBLE TO SPEAK TO AN ACTUAL HUMAN BEING WHEN CALLING #WellsFargo ? Idk if an auto… https://t.co/7xjtCkOuwb,0,['WellsFargo'],"Washington, USA"
80,CFRAZIER329,Wed Apr 22 16:48:39 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Georgia, USA"
81,eschuber8,Wed Apr 22 16:30:21 +0000 2020,"#caresact #bailouthumans #WellsFargo, JPMorgan Among Banks Sued Over #SBA Virus Loans https://t.co/quCOj0Lmks via @YahooFinance",0,"['caresact', 'bailouthumans', 'WellsFargo', 'SBA']","Peaceful Moment, USA"
82,CravalynnB,Wed Apr 22 16:28:39 +0000 2020,@Oregonian Hands off it #WellsFargo,0,['WellsFargo'],Boca Rutan
83,Schumack_1,Wed Apr 22 16:02:27 +0000 2020,@WellsFargo I'm embarrassed to have multiple accounts with this company. Everytime I check the news it seems like y… https://t.co/qJi6OjQWCY,0,[],"Eden Prairie, MN"
84,OBJUpdate,Wed Apr 22 16:00:28 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/UpdmzBfkSg",0,"['banking', 'WellsFargo', 'PPP']",Orlando
85,rickssavage,Wed Apr 22 15:41:45 +0000 2020,45 minutes at Burnsville Parkway Wells Fargo drive thru.  Not a big fan of #WellsFargo with everything that is going on with this company.,0,['WellsFargo'],"North Mankato, MN"
86,MFIMiami,Wed Apr 22 15:01:43 +0000 2020,"Wall Street Banks Plan To Crash The Housing Market Again! https://t.co/qROr8A7uR9
#wallstreet #JPMorganChase… https://t.co/nZa2FQYJhm",0,"['wallstreet', 'JPMorganChase']","Ft. Lauderdale, FL"
87,DrLee4America,Wed Apr 22 14:50:45 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],USA Volunteer Tweeter
88,WegeSusanne,Wed Apr 22 14:48:28 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Sugar Land,TX"
89,jobgotscrewed,Wed Apr 22 14:44:48 +0000 2020,@business No surprise here. This is the same bank that helped Greece cook its books to gain entry into the EU. When… https://t.co/fz5wSBYgj0,0,[],"Springfield, MA"
90,audreynapoleon,Wed Apr 22 14:23:58 +0000 2020,Shame on the News outlets AND on the big Banks #bankofamerica #ChaseBank #WellsFargo - Banks collect a percentage b… https://t.co/xCjD7t2lm1,3,"['bankofamerica', 'ChaseBank', 'WellsFargo']","New York, USA"
91,SalomnM,Wed Apr 22 14:10:30 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Villavicencio, Colombia"
92,CJ_Urbane,Wed Apr 22 14:07:45 +0000 2020,"RT @MattEganCNN: Small businesses accuse #WellsFargo, @JPMorgan, @BankofAmerica
&amp; @USBank of unfairly prioritizing emergency loan requests…",0,['WellsFargo'],igboland
93,LaMonicaBuzz,Wed Apr 22 14:06:34 +0000 2020,"RT @MattEganCNN: Small businesses accuse #WellsFargo, @JPMorgan, @BankofAmerica
&amp; @USBank of unfairly prioritizing emergency loan requests…",0,['WellsFargo'],"New York, NY"
94,CorpBizAdvice,Wed Apr 22 13:28:38 +0000 2020,"DISGUSTING #Bigbanks used #CARESAct to make big loans cutting out #SMB #WellsFargo complaint states it ""chooses pri… https://t.co/SDscUkM67q",0,"['Bigbanks', 'CARESAct', 'SMB', 'WellsFargo']",
95,KellieKellie916,Wed Apr 22 13:06:38 +0000 2020,@kathymantrafit1 @HAnthonyWalkerI @IvankaTrump This is bad to here #Wellsfargo #BankofAmerica,0,"['Wellsfargo', 'BankofAmerica']",
96,AdoCosa,Wed Apr 22 13:02:50 +0000 2020,"#WellsFargo was recently sued for their 401k practices plus all of other practices in the past, will they ever get… https://t.co/50JwpjPNV7",0,['WellsFargo'],
97,AdoCosa,Wed Apr 22 12:56:59 +0000 2020,Times are very hard for individuals and business right now. A lot of people have been laid off and are pulling mone… https://t.co/l2pGOXryTm,1,[],
98,LABizJournal,Wed Apr 22 12:00:46 +0000 2020,"In #banking news, #WellsFargo is sued over #PPP in what's likely to be the start of plenty of litigation over banks… https://t.co/EfD97jqqDr",0,"['banking', 'WellsFargo', 'PPP']","Los Angeles, CA"
99,TerriAWilliams1,Wed Apr 22 11:49:27 +0000 2020,"RT @DrLee4America: @IvankaTrump My small business STILL has not been able to get thru #WellsFargo backlog, dysfunctional application proces…",0,['WellsFargo'],"Missouri, USA"
